parent_code,child_code
CNDGT_TPS_OTH_OTH,slc.12.698.04
CNDGT_TPS_OTH_OTH,slc.12.698.05
CNDGT_TPS_OTH_OTH,slc.12.698.06
CNDGT_TPS_OTH_OTH,slc.12.698.07
CNDGT,CNDGT_ENV
CNDGT_ENV,CNDGT_ENV_SEW
CNDGT_ENV_SEW,CNDGT_ENV_SEW_WWC
CNDGT_ENV_SEW_WWC,slc.12.811.01
CNDGT_ENV_SEW_WWC,slc.12.811.02
CNDGT_ENV_SEW_WWC,slc.12.811.03
CNDGT_ENV_SEW_WWC,slc.12.811.04
CNDGT_ENV_SEW_WWC,slc.12.811.05
CNDGT_ENV_SEW_WWC,slc.12.811.06
CNDGT_ENV_SEW_WWC,slc.12.811.07
CNDGT_ENV_SEW,CNDGT_ENV_SEW_WWT
CNDGT_ENV_SEW_WWT,slc.12.812.01
CNDGT_ENV_SEW_WWT,slc.12.812.02
CNDGT_ENV_SEW_WWT,slc.12.812.03
CNDGT_ENV_SEW_WWT,slc.12.812.04
CNDGT_ENV_SEW_WWT,slc.12.812.05
CNDGT_ENV_SEW_WWT,slc.12.812.06
CNDGT_ENV_SEW_WWT,slc.12.812.07
CNDGT_ENV_SEW,CNDGT_ENV_SEW_USS
CNDGT_ENV_SEW_USS,slc.12.821.01
CNDGT_ENV_SEW_USS,slc.12.821.02
CNDGT_ENV_SEW_USS,slc.12.821.03
CNDGT_ENV_SEW_USS,slc.12.821.04
CNDGT_ENV_SEW_USS,slc.12.821.05
CNDGT_ENV_SEW_USS,slc.12.821.06
CNDGT_ENV_SEW_USS,slc.12.821.07
CNDGT_ENV_SEW,CNDGT_ENV_SEW_RSS
CNDGT_ENV_SEW_RSS,slc.12.822.01
CNDGT_ENV_SEW_RSS,slc.12.822.02
CNDGT_ENV_SEW_RSS,slc.12.822.03
CNDGT_ENV_SEW_RSS,slc.12.822.04
CNDGT_ENV_SEW_RSS,slc.12.822.05
CNDGT_ENV_SEW_RSS,slc.12.822.06
CNDGT_ENV_SEW_RSS,slc.12.822.07
CNDGT_ENV,CNDGT_ENV_WAT
CNDGT_ENV_WAT,CNDGT_ENV_WAT_TRT
CNDGT_ENV_WAT_TRT,slc.12.831.01
CNDGT_ENV_WAT_TRT,slc.12.831.02
CNDGT_ENV_WAT_TRT,slc.12.831.03
CNDGT_ENV_WAT_TRT,slc.12.831.04
CNDGT_ENV_WAT_TRT,slc.12.831.05
CNDGT_ENV_WAT_TRT,slc.12.831.06
CNDGT_ENV_WAT_TRT,slc.12.831.07
CNDGT_ENV_WAT,CNDGT_ENV_WAT_DIS
CNDGT_ENV_WAT_DIS,slc.12.832.01
CNDGT_ENV_WAT_DIS,slc.12.832.02
CNDGT_ENV_WAT_DIS,slc.12.832.03
CNDGT_ENV_WAT_DIS,slc.12.832.04
CNDGT_ENV_WAT_DIS,slc.12.832.05
CNDGT_ENV_WAT_DIS,slc.12.832.06
CNDGT_ENV_WAT_DIS,slc.12.832.07
CNDGT_ENV,CNDGT_ENV_WST
CNDGT_ENV_WST,CNDGT_ENV_WST_COL
CNDGT_ENV_WST_COL,slc.12.840.01
CNDGT_ENV_WST_COL,slc.12.840.02
CNDGT_ENV_WST_COL,slc.12.840.03
CNDGT_ENV_WST_COL,slc.12.840.04
CNDGT_ENV_WST_COL,slc.12.840.05
CNDGT_ENV_WST_COL,slc.12.840.06
CNDGT_ENV_WST_COL,slc.12.840.07
CNDGT_ENV_WST,CNDGT_ENV_WST_DIS
CNDGT_ENV_WST_DIS,slc.12.850.01
CNDGT_ENV_WST_DIS,slc.12.850.02
CNDGT_ENV_WST_DIS,slc.12.850.03
CNDGT_ENV_WST_DIS,slc.12.850.04
CNDGT_ENV_WST_DIS,slc.12.850.05
CNDGT_ENV_WST_DIS,slc.12.850.06
CNDGT_ENV_WST_DIS,slc.12.850.07
CNDGT_ENV_WST,CNDGT_ENV_WST_DIV
CNDGT_ENV_WST_DIV,slc.12.860.01
CNDGT_ENV_WST_DIV,slc.12.860.02
CNDGT_ENV_WST_DIV,slc.12.860.03
CNDGT_ENV_WST_DIV,slc.12.860.04
CNDGT_ENV_WST_DIV,slc.12.860.05
CNDGT_ENV_WST_DIV,slc.12.860.06
CNDGT_ENV_WST_DIV,slc.12.860.07
CNDGT_ENV,CNDGT_ENV_OTH
